age	weight	height	gender
54	85.0	176.5	male
49	69.1	175.3	male
60	73.6	175.3	male
42	80.5	188.0	male
52	82.7	188.0	male
23	86.4	175.3	male
33	67.7	170.5	male
46	92.7	179.1	male
43	93.6	177.8	male
56	70.9	175.3	male
21	75.0	182.9	male
18	93.2	170.8	male
21	93.2	188.0	male
45	77.7	180.3	male
22	61.4	177.8	male
55	94.1	185.4	male
42	75.0	168.9	male
29	83.6	185.4	male
40	85.5	180.3	male
24	73.9	174.0	male
62	66.8	167.6	male
26	87.3	182.9	male
35	72.3	160.0	male
37	88.6	180.3	male
34	75.5	167.6	male
25	101.4	186.7	male
30	91.1	175.3	male
32	67.3	175.3	male
27	77.7	175.9	male
42	81.8	175.3	male
44	75.5	179.1	male
46	84.5	181.6	male
19	76.6	177.8	male
43	85.0	182.9	male
28	102.5	177.8	male
39	77.3	184.2	male
30	71.8	179.1	male
36	87.9	176.5	male
48	94.3	188.0	male
48	70.9	174.0	male
53	64.5	167.6	male
45	77.3	170.2	male
39	72.3	167.6	male
43	87.3	188.0	male
65	80.0	174.0	male
45	82.3	176.5	male
37	73.6	180.3	male
55	74.1	167.6	male
33	85.9	188.0	male
25	73.2	180.3	male
35	76.3	167.6	male
28	65.9	183.0	male
26	90.9	183.0	male
43	89.1	179.1	male
30	62.3	170.2	male
26	82.7	177.8	male
51	79.1	179.1	male
30	98.2	190.5	male
24	84.1	177.8	male
35	83.2	180.3	male
37	83.2	180.3	male
22	51.6	161.2	female
20	59.0	167.5	female
19	49.2	159.5	female
25	63.0	157.0	female
21	53.6	155.8	female
23	59.0	170.0	female
26	47.6	159.1	female
22	69.8	166.0	female
28	66.8	176.2	female
40	75.2	160.2	female
32	55.2	172.5	female
25	54.2	170.9	female
25	62.5	172.9	female
29	42.0	153.4	female
22	50.0	160.0	female
25	49.8	147.2	female
23	49.2	168.2	female
37	73.2	175.0	female
19	47.8	157.0	female
23	68.8	167.6	female
25	50.6	159.5	female
26	82.5	175.0	female
24	57.2	166.8	female
29	87.8	176.5	female
22	72.8	170.2	female
30	54.5	174.0	female
23	59.8	173.0	female
38	67.3	179.9	female
23	67.8	170.5	female
19	47.0	160.0	female
46	46.2	154.4	female
20	55.0	162.0	female
22	83.0	176.5	female
25	54.4	160.0	female
21	45.8	152.0	female
23	53.6	162.1	female
31	73.2	170.0	female
29	52.1	160.2	female
19	67.9	161.3	female
21	56.6	166.4	female
23	62.3	168.9	female
24	58.5	163.8	female
20	54.5	167.6	female
19	50.2	160.0	female
20	60.3	161.3	female
19	58.3	167.6	female
20	56.2	165.1	female
19	50.2	160.0	female
22	72.9	170.0	female
39	59.8	157.5	female
18	61.0	167.6	female
19	69.1	160.7	female
26	55.9	163.2	female
20	46.5	152.4	female
20	54.3	157.5	female
26	54.8	168.3	female
21	60.7	180.3	female
21	60.0	165.5	female
38	62.0	165.0	female
23	60.3	164.5	female
37	52.7	156.0	female
19	74.3	160.0	female
25	62.0	163.0	female
20	73.1	165.7	female
41	80.0	161.0	female
26	54.7	162.0	female
21	53.2	166.0	female
47	75.7	174.0	female
19	61.1	172.7	female
44	55.7	167.6	female
35	48.7	151.1	female
32	52.3	164.5	female
46	50.0	163.5	female
22	59.3	152.0	female
49	62.5	169.0	female
52	55.7	164.0	female
25	54.8	161.2	female
48	45.9	155.0	female
41	70.6	170.0	female
18	67.2	176.2	female
30	69.4	170.0	female
20	58.2	162.5	female
24	64.8	170.3	female
23	71.6	164.1	female
30	52.8	169.5	female
23	59.8	163.2	female
45	49.0	154.5	female
20	50.0	159.8	female
20	69.2	173.2	female
23	55.9	170.0	female
21	63.4	161.4	female
28	58.2	169.0	female
45	58.6	166.2	female
24	45.7	159.4	female
25	52.2	162.5	female
19	48.6	159.0	female
20	57.8	162.8	female
29	55.6	159.0	female
24	66.8	179.8	female
24	59.4	162.9	female
25	53.6	161.0	female
31	73.2	151.1	female
22	53.4	168.2	female
20	69.0	168.9	female
32	58.4	173.2	female
25	56.2	171.8	female
19	70.6	178.0	female
23	59.8	164.3	female
22	72.0	163.0	female
20	65.2	168.5	female
27	56.6	166.8	female
34	105.2	172.7	female
25	51.8	163.5	female
26	63.4	169.4	female
19	59.0	167.8	female
26	47.6	159.5	female
25	63.0	167.6	female
20	55.2	161.2	female
21	45.0	160.0	female
18	54.0	163.2	female
19	50.2	162.2	female
27	60.2	161.3	female
26	44.8	149.5	female
36	58.8	157.5	female
20	56.4	163.2	female
28	62.0	172.7	female
32	49.2	155.0	female
32	67.2	156.5	female
23	53.8	164.0	female
20	54.4	160.9	female
20	58.0	162.8	female
20	59.8	167.0	female
23	54.8	160.0	female
20	43.2	160.0	female
28	60.5	168.9	female
23	46.4	158.2	female
19	64.4	156.0	female
28	48.8	160.0	female
19	62.2	167.1	female
29	55.5	158.0	female
32	57.8	167.6	female
20	54.6	156.0	female
28	59.2	162.1	female
36	52.7	173.4	female
22	53.2	159.8	female
20	64.5	170.5	female
22	51.8	159.2	female
32	56.0	157.5	female
40	63.6	161.3	female
40	63.2	162.6	female
42	59.5	160.0	female
40	56.8	168.9	female
44	64.1	165.1	female
30	50.0	162.6	female
28	72.3	165.1	female
37	55.0	166.4	female
40	55.9	160.0	female
45	60.4	152.4	female
35	69.1	170.2	female
41	84.5	162.6	female
27	55.9	170.2	female
20	55.5	158.8	female
24	69.5	172.7	female
36	76.4	167.6	female
27	61.4	162.6	female
32	65.9	167.6	female
64	58.6	156.2	female
21	66.8	175.2	female
32	56.6	172.1	female
35	58.6	162.6	female
41	55.9	160.0	female
40	59.1	165.1	female
29	81.8	182.9	female
40	70.7	166.4	female
24	56.8	165.1	female
23	60.0	177.8	female
41	58.2	165.1	female
44	72.7	175.3	female
53	54.1	154.9	female
19	49.1	158.8	female
24	75.9	172.7	female
25	55.0	168.9	female
20	57.3	161.3	female
34	55.0	167.6	female
32	65.5	165.1	female
24	65.5	175.3	female
29	48.6	157.5	female
31	58.6	163.8	female
34	63.6	167.6	female
36	55.2	165.1	female
32	62.7	165.1	female
39	56.6	168.9	female
37	53.9	162.6	female
52	63.2	164.5	female
24	73.6	176.5	female
33	62.0	168.9	female
42	63.6	175.3	female
34	53.2	159.4	female
37	53.4	160.0	female
39	55.0	170.2	female
41	70.5	162.6	female
36	54.5	167.6	female
19	54.5	162.6	female
22	55.9	160.7	female
23	59.0	160.0	female
36	63.6	157.5	female
45	54.5	162.6	female
25	47.3	152.4	female
67	67.7	170.2	female
26	80.9	165.1	female
21	70.5	172.7	female
33	60.9	165.1	female
25	63.6	170.2	female
24	54.5	170.2	female
21	59.1	170.2	female
35	70.5	161.3	female
27	52.7	167.6	female
27	62.7	167.6	female
26	86.3	165.1	female
25	66.4	162.6	female
44	67.3	152.4	female
29	63.0	168.9	female
26	73.6	170.2	female
23	62.3	175.2	female
32	57.7	175.2	female
32	55.4	160.0	female
43	104.1	165.1	female
32	55.5	174.0	female
41	77.3	170.2	female
33	80.5	160.0	female
28	64.5	167.6	female
28	72.3	167.6	female
25	61.4	167.6	female
38	58.2	154.9	female
37	81.8	162.6	female
25	63.6	175.3	female
37	53.4	171.4	female
27	54.5	157.5	female
27	53.6	165.1	female
20	60.0	160.0	female
19	73.6	174.0	female
32	61.4	162.6	female
26	55.5	174.0	female
56	63.6	162.6	female
23	60.9	161.3	female
19	60.0	156.2	female
31	46.8	149.9	female
34	57.3	169.5	female
34	64.1	160.0	female
24	63.6	175.3	female
22	67.3	169.5	female
34	75.5	160.0	female
30	68.2	172.7	female
32	61.4	162.6	female
40	76.8	157.5	female
29	71.8	176.5	female
21	55.5	164.4	female
33	48.6	160.7	female
33	66.4	174.0	female
38	67.3	163.8	female
