scientists	writers	politicians	military.leaders	artists	philosophers	social.reformers	historians	business.leaders	lifetime	occupation	
88	47	78	73	74	70	84	54	61	88	scientists	
76	66	91	85	62	65	87	65	88	76	scientists	
50	48	41	70	82	94	75	67	75	50	scientists	
76	73	75	39	47	68	93	68	78	76	scientists	
64	71	88	79	61	86	59	77	91	64	scientists	
53	69	59	45	77	80	62	63	71	53	scientists	
50	71	49	54	67	42	74	67	75	50	scientists	
70	60	64	78	79	67	83	58	79	70	scientists	
83	70	59	66	40	73	59	86	77	83	scientists	
74	44	66	48	58	70	70	66	87	74	scientists	
62	60	84	71	81	63	*	89	76	62	scientists	
82	85	35	68	75	69	*	95	85	82	scientists	
83	74	81	77	71	91	*	89	81	83	scientists	
78	62	86	47	49	65	*	81	91	78	scientists	
61	81	73	62	85	63	*	72	60	61	scientists	
78	67	80	63	71	53	*	87	69	78	scientists	
72	62	93	89	77	62	*	75	82	72	scientists	
64	78	69	83	66	62	*	70	82	64	scientists	
63	33	62	84	83	85	*	70	75	63	scientists	
70	29	73	62	74	78	*	63	72	70	scientists	
66	68	77	72	59	86	*	56	81	66	scientists	
85	75	42	79	82	89	*	80	69	85	scientists	
89	56	94	59	80	79	*	51	82	89	scientists	
72	71	48	57	83	56	*	73	71	72	scientists	
71	58	71	57	81	39	*	85	76	71	scientists	
86	56	54	91	76	72	*	66	94	86	scientists	
79	77	80	47	90	75	*	53	84	79	scientists	
73	58	80	89	57	61	*	56	75	73	scientists	
84	74	85	66	42	64	*	93	74	84	scientists	
37	60	57	79	72	79	*	67	96	37	scientists	
81	71	83	48	79	66	*	90	72	81	scientists	
64	74	84	47	61	72	*	70	98	64	scientists	
90	69	78	46	51	59	*	67	86	90	scientists	
88	68	57	81	47	83	*	77	69	88	scientists	
74	71	88	60	74	45	*	56	77	74	scientists	
83	76	44	34	81	73	*	70	90	83	scientists	
58	61	67	88	66	96	*	65	80	58	scientists	
59	77	79	95	61	34	*	81	51	59	scientists	
71	79	75	50	55	52	*	81	76	71	scientists	
87	75	60	86	77	91	*	54	91	87	scientists	
83	65	89	53	65	49	*	93	69	83	scientists	
66	83	48	78	33	79	*	86	83	66	scientists	
59	47	57	55	70	88	*	62	73	59	scientists	
77	44	39	80	87	86	*	90	70	77	scientists	
85	59	84	57	37	64	*	75	64	85	scientists	
76	67	49	71	43	80	*	61	85	76	scientists	
78	91	56	83	80	72	*	72	81	78	scientists	
51	80	56	83	73	64	*	76	75	51	scientists	
57	89	67	63	47	76	*	84	83	57	scientists	
69	66	63	31	48	47	*	90	65	69	scientists	
91	81	85	54	86	*	*	85	66	91	scientists	
70	75	44	75	76	*	*	75	91	70	scientists	
70	82	45	81	69	*	*	56	94	70	scientists	
85	62	87	70	86	*	*	*	84	85	scientists	
61	83	87	67	67	*	*	*	70	61	scientists	
63	43	56	67	89	*	*	*	82	63	scientists	
48	44	79	51	64	*	*	*	77	48	scientists	
66	68	56	83	46	*	*	*	71	66	scientists	
90	90	80	32	74	*	*	*	67	90	scientists	
62	55	70	79	85	*	*	*	71	62	scientists	
81	64	84	*	87	*	*	*	*	81	scientists	
79	78	67	*	69	*	*	*	*	79	scientists	
85	73	65	*	78	*	*	*	*	85	scientists	
79	78	82	*	61	*	*	*	*	79	scientists	
85	67	72	*	94	*	*	*	*	85	scientists	
63	93	66	*	78	*	*	*	*	63	scientists	
79	88	61	*	53	*	*	*	*	79	scientists	
73	60	81	*	75	*	*	*	*	73	scientists	
89	57	43	*	74	*	*	*	*	89	scientists	
58	66	89	*	67	*	*	*	*	58	scientists	
71	40	89	*	52	*	*	*	*	71	scientists	
89	60	77	*	82	*	*	*	*	89	scientists	
51	59	92	*	47	*	*	*	*	51	scientists	
40	79	79	*	63	*	*	*	*	40	scientists	
78	62	79	*	50	*	*	*	*	78	scientists	
98	48	53	*	83	*	*	*	*	98	scientists	
66	85	70	*	61	*	*	*	*	66	scientists	
75	85	62	*	75	*	*	*	*	75	scientists	
60	77	65	*	36	*	*	*	*	60	scientists	
87	83	54	*	83	*	*	*	*	87	scientists	
58	65	89	*	56	*	*	*	*	58	scientists	
66	83	65	*	27	*	*	*	*	66	scientists	
87	69	76	*	85	*	*	*	*	87	scientists	
81	78	75	*	89	*	*	*	*	81	scientists	
82	60	82	*	61	*	*	*	*	82	scientists	
90	76	74	*	90	*	*	*	*	90	scientists	
59	46	42	*	36	*	*	*	*	59	scientists	
83	73	48	*	72	*	*	*	*	83	scientists	
50	75	71	*	86	*	*	*	*	50	scientists	
70	75	92	*	88	*	*	*	*	70	scientists	
98	65	49	*	72	*	*	*	*	98	scientists	
79	59	64	*	59	*	*	*	*	79	scientists	
*	41	40	*	101	*	*	*	*	80	writers	
*	72	83	*	81	*	*	*	*	78	writers	
*	74	50	*	64	*	*	*	*	84	writers	
*	26	42	*	65	*	*	*	*	56	writers	
*	32	64	*	84	*	*	*	*	57	writers	
*	71	87	*	99	*	*	*	*	86	writers	
*	74	59	*	66	*	*	*	*	67	writers	
*	83	67	*	86	*	*	*	*	70	writers	
*	82	39	*	82	*	*	*	*	71	writers	
*	79	55	*	77	*	*	*	*	65	writers	
*	59	43	*	92	*	*	*	*	66	writers	
*	61	70	*	77	*	*	*	*	42	writers	
*	48	81	*	73	*	*	*	*	47	writers	
*	45	86	*	44	*	*	*	*	77	writers	
*	27	83	*	71	*	*	*	*	51	writers	
*	79	70	*	64	*	*	*	*	46	writers	
*	52	76	*	65	*	*	*	*	63	writers	
*	66	64	*	74	*	*	*	*	78	writers	
*	52	74	*	33	*	*	*	*	83	writers	
*	61	62	*	86	*	*	*	*	41	writers	
*	40	63	*	56	*	*	*	*	56	writers	
*	75	52	*	63	*	*	*	*	45	writers	
*	51	75	*	48	*	*	*	*	58	writers	
*	72	63	*	78	*	*	*	*	72	writers	
*	60	60	*	69	*	*	*	*	70	writers	
*	67	72	*	71	*	*	*	*	64	writers	
*	58	63	*	84	*	*	*	*	86	writers	
*	72	81	*	77	*	*	*	*	55	writers	
*	56	79	*	67	*	*	*	*	60	writers	
*	75	80	*	87	*	*	*	*	58	writers	
*	47	90	*	66	*	*	*	*	39	writers	
*	80	45	*	55	*	*	*	*	30	writers	
*	35	75	*	63	*	*	*	*	55	writers	
*	29	62	*	54	*	*	*	*	77	writers	
*	89	79	*	70	*	*	*	*	81	writers	
*	81	68	*	70	*	*	*	*	49	writers	
*	91	67	*	59	*	*	*	*	60	writers	
*	43	70	*	89	*	*	*	*	40	writers	
*	85	47	*	84	*	*	*	*	75	writers	
*	37	61	*	69	*	*	*	*	36	writers	
*	77	74	*	32	*	*	*	*	62	writers	
*	50	63	*	83	*	*	*	*	47	writers	
*	72	52	*	71	*	*	*	*	66	writers	
*	76	60	*	82	*	*	*	*	48	writers	
*	81	60	*	78	*	*	*	*	73	writers	
*	67	93	*	80	*	*	*	*	71	writers	
*	58	55	*	59	*	*	*	*	69	writers	
*	74	79	*	73	*	*	*	*	71	writers	
*	66	88	*	89	*	*	*	*	60	writers	
*	68	90	*	55	*	*	*	*	70	writers	
*	49	49	*	74	*	*	*	*	44	writers	
*	51	57	*	76	*	*	*	*	60	writers	
*	74	36	*	91	*	*	*	*	85	writers	
*	59	71	*	37	*	*	*	*	74	writers	
*	85	78	*	87	*	*	*	*	62	writers	
*	84	92	*	76	*	*	*	*	81	writers	
*	85	86	*	78	*	*	*	*	67	writers	
*	57	63	*	72	*	*	*	*	62	writers	
*	46	71	*	77	*	*	*	*	78	writers	
*	47	72	*	61	*	*	*	*	33	writers	
*	78	74	*	43	*	*	*	*	29	writers	
*	69	74	*	60	*	*	*	*	68	writers	
*	69	77	*	53	*	*	*	*	75	writers	
*	78	77	*	82	*	*	*	*	56	writers	
*	39	80	*	59	*	*	*	*	71	writers	
*	57	71	*	37	*	*	*	*	58	writers	
*	65	80	*	87	*	*	*	*	56	writers	
*	94	71	*	82	*	*	*	*	77	writers	
*	65	80	*	69	*	*	*	*	58	writers	
*	47	73	*	82	*	*	*	*	74	writers	
*	72	74	*	51	*	*	*	*	60	writers	
*	74	55	*	77	*	*	*	*	71	writers	
*	70	49	*	*	*	*	*	*	74	writers	
*	70	65	*	*	*	*	*	*	69	writers	
*	75	83	*	*	*	*	*	*	68	writers	
*	70	51	*	*	*	*	*	*	71	writers	
*	69	69	*	*	*	*	*	*	76	writers	
*	40	59	*	*	*	*	*	*	61	writers	
*	56	64	*	*	*	*	*	*	77	writers	
*	90	84	*	*	*	*	*	*	79	writers	
*	85	65	*	*	*	*	*	*	75	writers	
*	51	84	*	*	*	*	*	*	65	writers	
*	38	88	*	*	*	*	*	*	83	writers	
*	58	71	*	*	*	*	*	*	47	writers	
*	60	63	*	*	*	*	*	*	44	writers	
*	77	59	*	*	*	*	*	*	59	writers	
*	72	61	*	*	*	*	*	*	67	writers	
*	72	70	*	*	*	*	*	*	91	writers	
*	67	50	*	*	*	*	*	*	80	writers	
*	51	55	*	*	*	*	*	*	89	writers	
*	37	80	*	*	*	*	*	*	66	writers	
*	66	67	*	*	*	*	*	*	81	writers	
*	55	72	*	*	*	*	*	*	75	writers	
*	78	65	*	*	*	*	*	*	82	writers	
*	61	69	*	*	*	*	*	*	62	writers	
*	50	70	*	*	*	*	*	*	83	writers	
*	66	78	*	*	*	*	*	*	43	writers	
*	81	52	*	*	*	*	*	*	44	writers	
*	44	40	*	*	*	*	*	*	68	writers	
*	72	*	*	*	*	*	*	*	90	writers	
*	89	*	*	*	*	*	*	*	55	writers	
*	89	*	*	*	*	*	*	*	64	writers	
*	73	*	*	*	*	*	*	*	78	writers	
*	75	*	*	*	*	*	*	*	73	writers	
*	46	*	*	*	*	*	*	*	78	writers	
*	61	*	*	*	*	*	*	*	67	writers	
*	84	*	*	*	*	*	*	*	93	writers	
*	52	*	*	*	*	*	*	*	88	writers	
*	94	*	*	*	*	*	*	*	60	writers	
*	54	*	*	*	*	*	*	*	57	writers	
*	30	*	*	*	*	*	*	*	66	writers	
*	65	*	*	*	*	*	*	*	40	writers	
*	59	*	*	*	*	*	*	*	60	writers	
*	78	*	*	*	*	*	*	*	59	writers	
*	90	*	*	*	*	*	*	*	79	writers	
*	47	*	*	*	*	*	*	*	62	writers	
*	80	*	*	*	*	*	*	*	48	writers	
*	57	*	*	*	*	*	*	*	85	writers	
*	70	*	*	*	*	*	*	*	85	writers	
*	72	*	*	*	*	*	*	*	77	writers	
*	66	*	*	*	*	*	*	*	83	writers	
*	59	*	*	*	*	*	*	*	65	writers	
*	55	*	*	*	*	*	*	*	83	writers	
*	76	*	*	*	*	*	*	*	69	writers	
*	44	*	*	*	*	*	*	*	78	writers	
*	89	*	*	*	*	*	*	*	60	writers	
*	85	*	*	*	*	*	*	*	76	writers	
*	52	*	*	*	*	*	*	*	46	writers	
*	63	*	*	*	*	*	*	*	73	writers	
*	78	*	*	*	*	*	*	*	75	writers	
*	72	*	*	*	*	*	*	*	75	writers	
*	38	*	*	*	*	*	*	*	65	writers	
*	80	*	*	*	*	*	*	*	59	writers	
*	77	*	*	*	*	*	*	*	41	writers	
*	49	*	*	*	*	*	*	*	72	writers	
*	83	*	*	*	*	*	*	*	74	writers	
*	52	*	*	*	*	*	*	*	26	writers	
*	39	*	*	*	*	*	*	*	32	writers	
*	55	*	*	*	*	*	*	*	71	writers	
*	67	*	*	*	*	*	*	*	74	writers	
*	81	*	*	*	*	*	*	*	83	writers	
*	82	*	*	*	*	*	*	*	82	writers	
*	67	*	*	*	*	*	*	*	79	writers	
*	65	*	*	*	*	*	*	*	59	writers	
*	75	*	*	*	*	*	*	*	61	writers	
*	68	*	*	*	*	*	*	*	48	writers	
*	74	*	*	*	*	*	*	*	45	writers	
*	77	*	*	*	*	*	*	*	27	writers	
*	32	*	*	*	*	*	*	*	79	writers	
*	63	*	*	*	*	*	*	*	52	writers	
*	80	*	*	*	*	*	*	*	66	writers	
*	90	*	*	*	*	*	*	*	52	writers	
*	75	*	*	*	*	*	*	*	61	writers	
*	86	*	*	*	*	*	*	*	40	writers	
*	58	*	*	*	*	*	*	*	75	writers	
*	73	*	*	*	*	*	*	*	51	writers	
*	85	*	*	*	*	*	*	*	72	writers	
*	46	*	*	*	*	*	*	*	60	writers	
*	90	*	*	*	*	*	*	*	67	writers	
*	78	*	*	*	*	*	*	*	58	writers	
*	71	*	*	*	*	*	*	*	72	writers	
*	80	*	*	*	*	*	*	*	56	writers	
*	77	*	*	*	*	*	*	*	75	writers	
*	94	*	*	*	*	*	*	*	47	writers	
*	38	*	*	*	*	*	*	*	80	writers	
*	59	*	*	*	*	*	*	*	35	writers	
*	80	*	*	*	*	*	*	*	29	writers	
*	74	*	*	*	*	*	*	*	89	writers	
*	62	*	*	*	*	*	*	*	81	writers	
*	*	*	*	*	*	*	*	*	91	writers	
*	*	*	*	*	*	*	*	*	43	writers	
*	*	*	*	*	*	*	*	*	85	writers	
*	*	*	*	*	*	*	*	*	37	writers	
*	*	*	*	*	*	*	*	*	77	writers	
*	*	*	*	*	*	*	*	*	50	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	76	writers	
*	*	*	*	*	*	*	*	*	81	writers	
*	*	*	*	*	*	*	*	*	67	writers	
*	*	*	*	*	*	*	*	*	58	writers	
*	*	*	*	*	*	*	*	*	74	writers	
*	*	*	*	*	*	*	*	*	66	writers	
*	*	*	*	*	*	*	*	*	68	writers	
*	*	*	*	*	*	*	*	*	49	writers	
*	*	*	*	*	*	*	*	*	51	writers	
*	*	*	*	*	*	*	*	*	74	writers	
*	*	*	*	*	*	*	*	*	59	writers	
*	*	*	*	*	*	*	*	*	85	writers	
*	*	*	*	*	*	*	*	*	84	writers	
*	*	*	*	*	*	*	*	*	85	writers	
*	*	*	*	*	*	*	*	*	57	writers	
*	*	*	*	*	*	*	*	*	46	writers	
*	*	*	*	*	*	*	*	*	47	writers	
*	*	*	*	*	*	*	*	*	78	writers	
*	*	*	*	*	*	*	*	*	69	writers	
*	*	*	*	*	*	*	*	*	69	writers	
*	*	*	*	*	*	*	*	*	78	writers	
*	*	*	*	*	*	*	*	*	39	writers	
*	*	*	*	*	*	*	*	*	57	writers	
*	*	*	*	*	*	*	*	*	65	writers	
*	*	*	*	*	*	*	*	*	94	writers	
*	*	*	*	*	*	*	*	*	65	writers	
*	*	*	*	*	*	*	*	*	47	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	74	writers	
*	*	*	*	*	*	*	*	*	70	writers	
*	*	*	*	*	*	*	*	*	70	writers	
*	*	*	*	*	*	*	*	*	75	writers	
*	*	*	*	*	*	*	*	*	70	writers	
*	*	*	*	*	*	*	*	*	69	writers	
*	*	*	*	*	*	*	*	*	40	writers	
*	*	*	*	*	*	*	*	*	56	writers	
*	*	*	*	*	*	*	*	*	90	writers	
*	*	*	*	*	*	*	*	*	85	writers	
*	*	*	*	*	*	*	*	*	51	writers	
*	*	*	*	*	*	*	*	*	38	writers	
*	*	*	*	*	*	*	*	*	58	writers	
*	*	*	*	*	*	*	*	*	60	writers	
*	*	*	*	*	*	*	*	*	77	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	67	writers	
*	*	*	*	*	*	*	*	*	51	writers	
*	*	*	*	*	*	*	*	*	37	writers	
*	*	*	*	*	*	*	*	*	66	writers	
*	*	*	*	*	*	*	*	*	55	writers	
*	*	*	*	*	*	*	*	*	78	writers	
*	*	*	*	*	*	*	*	*	61	writers	
*	*	*	*	*	*	*	*	*	50	writers	
*	*	*	*	*	*	*	*	*	66	writers	
*	*	*	*	*	*	*	*	*	81	writers	
*	*	*	*	*	*	*	*	*	44	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	89	writers	
*	*	*	*	*	*	*	*	*	89	writers	
*	*	*	*	*	*	*	*	*	73	writers	
*	*	*	*	*	*	*	*	*	75	writers	
*	*	*	*	*	*	*	*	*	46	writers	
*	*	*	*	*	*	*	*	*	61	writers	
*	*	*	*	*	*	*	*	*	84	writers	
*	*	*	*	*	*	*	*	*	52	writers	
*	*	*	*	*	*	*	*	*	94	writers	
*	*	*	*	*	*	*	*	*	54	writers	
*	*	*	*	*	*	*	*	*	30	writers	
*	*	*	*	*	*	*	*	*	65	writers	
*	*	*	*	*	*	*	*	*	59	writers	
*	*	*	*	*	*	*	*	*	78	writers	
*	*	*	*	*	*	*	*	*	90	writers	
*	*	*	*	*	*	*	*	*	47	writers	
*	*	*	*	*	*	*	*	*	80	writers	
*	*	*	*	*	*	*	*	*	57	writers	
*	*	*	*	*	*	*	*	*	70	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	66	writers	
*	*	*	*	*	*	*	*	*	59	writers	
*	*	*	*	*	*	*	*	*	55	writers	
*	*	*	*	*	*	*	*	*	76	writers	
*	*	*	*	*	*	*	*	*	44	writers	
*	*	*	*	*	*	*	*	*	89	writers	
*	*	*	*	*	*	*	*	*	85	writers	
*	*	*	*	*	*	*	*	*	52	writers	
*	*	*	*	*	*	*	*	*	63	writers	
*	*	*	*	*	*	*	*	*	78	writers	
*	*	*	*	*	*	*	*	*	72	writers	
*	*	*	*	*	*	*	*	*	38	writers	
*	*	*	*	*	*	*	*	*	80	writers	
*	*	*	*	*	*	*	*	*	77	writers	
*	*	*	*	*	*	*	*	*	49	writers	
*	*	*	*	*	*	*	*	*	83	writers	
*	*	*	*	*	*	*	*	*	52	writers	
*	*	*	*	*	*	*	*	*	39	writers	
*	*	*	*	*	*	*	*	*	55	writers	
*	*	*	*	*	*	*	*	*	67	writers	
*	*	*	*	*	*	*	*	*	81	writers	
*	*	*	*	*	*	*	*	*	82	writers	
*	*	*	*	*	*	*	*	*	67	writers	
*	*	*	*	*	*	*	*	*	65	writers	
*	*	*	*	*	*	*	*	*	75	writers	
*	*	*	*	*	*	*	*	*	68	writers	
*	*	*	*	*	*	*	*	*	74	writers	
*	*	*	*	*	*	*	*	*	77	writers	
*	*	*	*	*	*	*	*	*	32	writers	
*	*	*	*	*	*	*	*	*	63	writers	
*	*	*	*	*	*	*	*	*	80	writers	
*	*	*	*	*	*	*	*	*	90	writers	
*	*	*	*	*	*	*	*	*	75	writers	
*	*	*	*	*	*	*	*	*	86	writers	
*	*	*	*	*	*	*	*	*	58	writers	
*	*	*	*	*	*	*	*	*	73	writers	
*	*	*	*	*	*	*	*	*	85	writers	
*	*	*	*	*	*	*	*	*	46	writers	
*	*	*	*	*	*	*	*	*	90	writers	
*	*	*	*	*	*	*	*	*	78	writers	
*	*	*	*	*	*	*	*	*	71	writers	
*	*	*	*	*	*	*	*	*	80	writers	
*	*	*	*	*	*	*	*	*	77	writers	
*	*	*	*	*	*	*	*	*	94	writers	
*	*	*	*	*	*	*	*	*	38	writers	
*	*	*	*	*	*	*	*	*	59	writers	
*	*	*	*	*	*	*	*	*	80	writers	
*	*	*	*	*	*	*	*	*	74	writers	
*	*	*	*	*	*	*	*	*	62	writers	
*	*	*	*	*	*	*	*	*	61	politicians	
*	*	*	*	*	*	*	*	*	78	politicians	
*	*	*	*	*	*	*	*	*	81	politicians	
*	*	*	*	*	*	*	*	*	91	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	76	politicians	
*	*	*	*	*	*	*	*	*	57	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	43	politicians	
*	*	*	*	*	*	*	*	*	62	politicians	
*	*	*	*	*	*	*	*	*	82	politicians	
*	*	*	*	*	*	*	*	*	95	politicians	
*	*	*	*	*	*	*	*	*	72	politicians	
*	*	*	*	*	*	*	*	*	85	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
*	*	*	*	*	*	*	*	*	87	politicians	
*	*	*	*	*	*	*	*	*	76	politicians	
*	*	*	*	*	*	*	*	*	54	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	83	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	78	politicians	
*	*	*	*	*	*	*	*	*	57	politicians	
*	*	*	*	*	*	*	*	*	75	politicians	
*	*	*	*	*	*	*	*	*	31	politicians	
*	*	*	*	*	*	*	*	*	76	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	50	politicians	
*	*	*	*	*	*	*	*	*	76	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	68	politicians	
*	*	*	*	*	*	*	*	*	53	politicians	
*	*	*	*	*	*	*	*	*	51	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
*	*	*	*	*	*	*	*	*	61	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	88	politicians	
*	*	*	*	*	*	*	*	*	78	politicians	
*	*	*	*	*	*	*	*	*	91	politicians	
*	*	*	*	*	*	*	*	*	41	politicians	
*	*	*	*	*	*	*	*	*	75	politicians	
*	*	*	*	*	*	*	*	*	88	politicians	
*	*	*	*	*	*	*	*	*	59	politicians	
*	*	*	*	*	*	*	*	*	49	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
*	*	*	*	*	*	*	*	*	59	politicians	
*	*	*	*	*	*	*	*	*	66	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	35	politicians	
*	*	*	*	*	*	*	*	*	81	politicians	
*	*	*	*	*	*	*	*	*	86	politicians	
*	*	*	*	*	*	*	*	*	73	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	93	politicians	
*	*	*	*	*	*	*	*	*	69	politicians	
*	*	*	*	*	*	*	*	*	62	politicians	
*	*	*	*	*	*	*	*	*	73	politicians	
*	*	*	*	*	*	*	*	*	77	politicians	
*	*	*	*	*	*	*	*	*	42	politicians	
*	*	*	*	*	*	*	*	*	94	politicians	
*	*	*	*	*	*	*	*	*	48	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	54	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	85	politicians	
*	*	*	*	*	*	*	*	*	57	politicians	
*	*	*	*	*	*	*	*	*	83	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	78	politicians	
*	*	*	*	*	*	*	*	*	57	politicians	
*	*	*	*	*	*	*	*	*	88	politicians	
*	*	*	*	*	*	*	*	*	44	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	75	politicians	
*	*	*	*	*	*	*	*	*	60	politicians	
*	*	*	*	*	*	*	*	*	89	politicians	
*	*	*	*	*	*	*	*	*	48	politicians	
*	*	*	*	*	*	*	*	*	57	politicians	
*	*	*	*	*	*	*	*	*	39	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	49	politicians	
*	*	*	*	*	*	*	*	*	56	politicians	
*	*	*	*	*	*	*	*	*	56	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	85	politicians	
*	*	*	*	*	*	*	*	*	44	politicians	
*	*	*	*	*	*	*	*	*	45	politicians	
*	*	*	*	*	*	*	*	*	87	politicians	
*	*	*	*	*	*	*	*	*	87	politicians	
*	*	*	*	*	*	*	*	*	56	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	56	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	82	politicians	
*	*	*	*	*	*	*	*	*	72	politicians	
*	*	*	*	*	*	*	*	*	66	politicians	
*	*	*	*	*	*	*	*	*	61	politicians	
*	*	*	*	*	*	*	*	*	81	politicians	
*	*	*	*	*	*	*	*	*	43	politicians	
*	*	*	*	*	*	*	*	*	89	politicians	
*	*	*	*	*	*	*	*	*	89	politicians	
*	*	*	*	*	*	*	*	*	77	politicians	
*	*	*	*	*	*	*	*	*	92	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	53	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	62	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	54	politicians	
*	*	*	*	*	*	*	*	*	89	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	76	politicians	
*	*	*	*	*	*	*	*	*	75	politicians	
*	*	*	*	*	*	*	*	*	82	politicians	
*	*	*	*	*	*	*	*	*	74	politicians	
*	*	*	*	*	*	*	*	*	42	politicians	
*	*	*	*	*	*	*	*	*	48	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	92	politicians	
*	*	*	*	*	*	*	*	*	49	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
